"ARQUIVO";"CO_ANO";"QT_ESTAT";"KG_LIQUIDO";"VL_FOB";"VL_FRETE";"VL_SEGURO";"NUMERO_LINHAS"
"IMP_1997.csv";"1997";72469214059;85960038616;60537962059;3490219100;137506000;929093
"IMP_1998.csv";"1998";74849479730;90071961252;58672860908;3272383936;124036347;986836
"IMP_1999.csv";"1999";75932337651;85513043023;50259540356;2536656357;96618443;886843
"IMP_2000.csv";"2000";97129731838;92834971586;56976350170;2970309157;99079599;977218
"IMP_2001.csv";"2001";89234267673;93349664240;56569020182;3017734910;97713951;993063
"IMP_2002.csv";"2002";86702428093;91454215156;48274763553;2432256634;78166192;948065
"IMP_2003.csv";"2003";103418528991;94501387260;49307163152;2495669384;76991950;949950
"IMP_2004.csv";"2004";120675745096;102597893238;63813636668;3566036984;91943233;1065299
"IMP_2005.csv";"2005";123597349541;93089793256;74692215554;3919064511;102914029;1132587
"IMP_2006.csv";"2006";140858575509;102265643864;92531096870;4402704888;114924507;1229724
"IMP_2007.csv";"2007";173396512432;118843609221;122041949120;5925126366;143547105;1334285
"IMP_2008.csv";"2008";183106403633;124495090563;174707087626;9010490331;203104192;1445890
"IMP_2009.csv";"2009";148681631394;103914791481;129397611523;5825046941;154944629;1394128
"IMP_2010.csv";"2010";202201608886;138111464460;183336964846;9655962906;191337838;1656317
"IMP_2011.csv";"2011";218137795238;148702935502;227969756701;10514259408;222116266;1771008
"IMP_2012.csv";"2012";214931213375;141788957040;225166426069;10026741251;211311763;1829060
"IMP_2013.csv";"2013";237939643436;159565878109;241500886459;10585684919;195133145;1887697
"IMP_2014.csv";"2014";244079554147;165284900159;230823018796;9761601940;178751246;1891607
"IMP_2015.csv";"2015";207578980463;146470902082;173104259077;7217609201;138467852;1784459
"IMP_2016.csv";"2016";197580870135;138412341184;139321357653;5814053785;112463368;1690065
"IMP_2017.csv";"2017";224138358488;147377404392;158951444003;6780582952;123205174;1840472
"IMP_2018.csv";"2018";242600455025;151392468267;185321983502;7382864017;135366561;1893229
"IMP_2019.csv";"2019";238234076545;153404722395;185927967580;7099935633;134100825;1932755
"IMP_2020.csv";"2020";232969373637;143979868044;158786824879;7433078641;116311933;1784057
"IMP_2021.csv";"2021";276494571488;178410726540;219408049180;15125230521;157165534;1999946
"IMP_2022.csv";"2022";256369283417;173484872428;272610686946;19419486297;214374914;2023256
"IMP_2023.csv";"2023";187098629227;126108970461;181733024322;8962415827;135158957;1553292
